"id","pid","case_number","bwc_on"
"21-01","1","2019-0671","ON"
"21-02","1","2019-0617","ON"
"21-02","2","2019-0617","LOST BWC"
"21-02","3","2019-0617","PARTIAL ON"
"21-02","4","2019-0617","LOST BWC"
"21-02","5","2019-0617","ON"
"21-03","1","2019-0547","ON"
"21-04","1","2019-0707","ON"
"21-05","1","2019-0049","ON"
"21-06","1","2019-0574","ON"
"21-06","2","2019-0574","ON"
"21-07","1","2019-0019","ON"
"21-08","1","2020-0082","ON"
"21-08","2","2020-0082","ON"
"21-09","1","2019-0456","ON"
"21-10","1","2019-0820","ON"
"21-10","2","2019-0820","ON"
"21-100","1","2020-0338","ON"
"21-100","2","2020-0338","ON"
"21-101","1","2020-0415","FAILURE TO ACTIVATE"
"21-102","1","2020-0614","ON"
"21-102","2","2020-0614","ON"
"21-102","3","2020-0614","ON"
"21-103","1","2020-0389","FAILURE TO ACTIVATE"
"21-103","2","2020-0389","ON"
"21-103","3","2020-0389","ON"
"21-103","4","2020-0389","ON"
"21-103","5","2020-0389","ON"
"21-103","6","2020-0389","ON"
"21-103","7","2020-0389","ON"
"21-103","8","2020-0389","FAILURE TO ACTIVATE"
"21-103","9","2020-0389","ON"
"21-103","10","2020-0389","ON"
"21-103","11","2020-0389","ON"
"21-103","12","2020-0389","ON"
"21-103","13","2020-0389","ON"
"21-104","1","2020-0187","ON"
"21-105","1","2020-0598","ON"
"21-105","2","2020-0598","ON"
"21-105","3","2020-0598","FAILURE TO ACTIVATE"
"21-107","1","2020-0487","FAILURE TO ACTIVATE"
"21-107","2","2020-0487","FAILURE TO ACTIVATE"
"21-108","1","2020-0451","FAILURE TO KEEP IN BUFFER MODE"
"21-109","1","2020-0416","FAILURE TO ACTIVATE RESPONDING TO CALL"
"21-109","2","2020-0416","FAILURE TO ACTIVATE RESPONDING TO CALL"
"21-109","3","2020-0416","FAILURE TO ACTIVATE RESPONDING TO CALL"
"21-11","1","2019-0529","ON"
"21-11","2","2019-0529","ON"
"21-110","1","2020-0505","ON"
"21-111","1","2020-0466","ON"
"21-111","2","2020-0466","FAILURE TO ACTIVATE RESPONDING TO CALL"
"21-111","3","2020-0466","FAILURE TO ACTIVATE RESPONDING TO CALL"
"21-112","1","2020-0797","ON"
"21-113","1","2019-0594","ON"
"21-113","2","2019-0594","N/A "
"21-114","1","2020-0511","FAILURE TO ACTIVATE RESPONDING TO CALL"
"21-114","2","2020-0511","FAILURE BWC IN BUFFERING MODE"
"21-114","3","2020-0511","FAILURE BWC IN BUFFERING MODE"
"21-114","4","2020-0511","ON"
"21-114","5","2020-0511","FAILURE TO ACTIVATE RESPONDING TO CALL"
"21-114","6","2020-0511","FAILURE TO ACTIVATE RESPONDING TO CALL"
"21-114","7","2020-0511","FAILURE BWC IN BUFFERING MODE"
"21-115","1","2020-0443","FAILURE TO PUT BWC IN EVENT MODE"
"21-115","2","2020-0443","ON"
"21-116","1","2020-0550","ON"
"21-116","2","2020-0550","FAILURE TO ACTIVATE IN EVENT MODE"
"21-116","3","2020-0550","ON"
"21-116","4","2020-0550","ON"
"21-116","5","2020-0550","ON"
"21-116","6","2020-0550","ON"
"21-117","1","2020-0401","FAILURE TO ACTIVATE INTO EVENT MODE WHILE DRIVING TO CALL & ON SCENE"
"21-117","2","2020-0401","FAILURE TO ACTIVATE INTO EVENT MODE WHILE DRIVING TO CALL & ON SCENE"
"21-117","3","2020-0401","FAILURE TO ACTIVATE INTO EVENT MODE WHILE DRIVING TO CALL & ON SCENE"
"21-117","4","2020-0401","FAILURE TO ACTIVATE INTO EVENT MODE WHILE DRIVING TO CALL & ON SCENE"
"21-117","5","2020-0401","FAILURE TO ACTIVATE INTO EVENT MODE WHILE DRIVING TO CALL & ON SCENE"
"21-117","6","2020-0401","FAILURE TO ACTIVATE INTO EVENT MODE WHILE DRIVING TO CALL & ON SCENE"
"21-117","7","2020-0401","FAILURE TO ACTIVATE INTO EVENT MODE WHILE DRIVING TO CALL & ON SCENE"
"21-117","8","2020-0401","FAILURE TO ACTIVATE INTO EVENT MODE WHILE DRIVING TO CALL & ON SCENE"
"21-117","9","2020-0401","FAILURE TO ACTIVATE INTO EVENT MODE WHILE DRIVING TO CALL & ON SCENE"
"21-117","10","2020-0401","FAILURE TO ACTIVATE INTO EVENT MODE WHILE DRIVING TO CALL & ON SCENE"
"21-118","1","2020-0807","ON"
"21-119","1","2020-0678","FAILURE TO ACTIVATE WHILE DRIVING TO CALL"
"21-119","2","2020-0678","FAILURE TO ACTIVATE WHILE DRIVING TO CALL"
"21-119","3","2020-0678","FAILURE TO ACTIVATE WHILE DRIVING TO CALL"
"21-119","4","2020-0678","FAILURE TO ACTIVATE WHILE DRIVING TO CALL"
"21-119","5","2020-0678","FAILURE TO ACTIVATE"
"21-12","1","2019-0422","ON"
"21-120","1","2020-0577","FAILURE TO ACTIVATE WHILE DRIVING TO CALL"
"21-120","2","2020-0577","FAILURE TO ACTIVATE WHILE DRIVING TO CALL"
"21-120","3","2020-0577","FAILURE TO ACTIVATE WHILE DRIVING TO CALL"
"21-121","1","2020-0051","ON"
"21-121","2","2020-0051","ON"
"21-121","3","2020-0051","ON"
"21-121","4","2020-0051","ON"
"21-121","5","2020-0051","FAILURE TO ACTIVATE"
"21-121","6","2020-0051","ON"
"21-122","1","2020-0612","ON"
"21-122","2","2020-0612","ON"
"21-122","3","2020-0612","Not Required (plainclothes)"
"21-123","1","2020-0265","FAILURE TO ACTIVATE"
