id,case_number,allegation,ia_finding,crb_decision,unanimous_vote,date_assigned,date_presented,pd_division,complainant_race,complainant_gender,changes,crb_viewed_bwc
19-59,2018-0182,ARREST,E,A,YES,2019-01-29,2019-06-11,CENTRAL,B,M,NO,
19-59,2018-0182,FORCE,E,A,YES,2019-01-29,2019-06-11,CENTRAL,B,M,NO,
19-59,2018-0182,OF1 PROCEDURE,S,A,YES,2019-01-29,2019-06-11,CENTRAL,B,M,NO,
19-58,2019-0152,DISCRIMINATION,U,A,YES,2019-04-17,2019-06-25,WESTERN,W,M,NO,
19-58,2019-0152,DISCRIMINATION,U,A,YES,2019-04-17,2019-06-25,WESTERN,W,M,NO,
19-57,2018-0500,PROCEDURE,E,A,YES,2019-05-08,2019-06-25,MID- CITY,B,M,NO,
19-57,2018-0500,PRODEDURE,U,A,YES,2019-05-08,2019-06-25,MID- CITY,B,M,NO,
19-57,2018-0500,PROCEDURE,E,A,YES,2019-05-08,2019-06-25,MID- CITY,B,M,NO,
19-56,2018-0502,FORCE,E,A,YES,2019-03-21,2019-06-25,NORTHERN,W,F,NO,
19-56,2018-0502,COURTESY,U,A,YES,2019-03-21,2019-06-25,NORTHERN,W,F,NO,
19-56,2018-0502,OF1 PROCEDURE,S,A,YES,2019-03-21,2019-06-25,NORTHERN,W,F,NO,
19-55,2019-0041,PROCEDURE,U,A,YES,2019-05-08,2019-06-11,SOUTHEASTERN,B,M,NO,
19-55,2019-0041,DISCRIMINATION,U,A,YES,2019-05-08,2019-06-11,SOUTHEASTERN,B,M,NO,
19-54,2019-0022,FORCE,E,A,YES,2019-03-18,2019-05-28,CENTRAL,B,F,NO,
19-54,2019-0022,PROCEDURE,U,A,YES,2019-03-18,2019-05-28,CENTRAL,B,F,NO,
19-53,2018-0452,OIS,WP,A,YES,2019-02-21,2019-05-14,SOUTHEASTERN,B,M,NO,
19-52,2018-0717,PROCEDURE,S,A,YES,2019-02-27,2019-05-14,CENTRAL,H,M,NO,
19-51,2019-0084,DISCRIMINATION,U,A,YES,2019-03-25,2019-05-14,NORTHEASTERN,B,F,NO,
19-50,2018-0686,DISCRIMINATION,U,A,YES,2019-02-12,2019-05-14,CENTRAL,B,M,YES,
19-50,2018-0686,COURTESY,S,A,YES,2019-02-12,2019-05-14,CENTRAL,B,M,YES,
19-50,2018-0686,OF1 PROCEDURE,S,A,YES,2019-02-12,2019-05-14,CENTRAL,B,M,YES,
19-50,2018-0686,DISCRIMINATION,U,A,YES,2019-02-12,2019-05-14,CENTRAL,B,M,YES,
19-49,2018-0730,DISCRIMINATION,U,A,YES,2019-03-25,2019-05-14,CENTRAL,B,M,NO,
19-48,2018-0284,ARREST,E,A/C,YES,2018-12-11,2019-05-14,WESTERN,"W,W","F,F",YES,
19-48,2018-0284,ARREST,E,A/C,YES,2018-12-11,2019-05-14,WESTERN,"W,W","F,F",YES,
19-48,2018-0284,ARREST,E,A/C,YES,2018-12-11,2019-05-14,WESTERN,"W,W","F,F",YES,
19-47,2018-0244,ARREST,E,A,YES,2019-01-23,2019-04-23,CENTRAL,W,M,NO,
19-46,2018-0257,DISCRIMINATION,U,A/C,NO,2018-12-12,2019-04-23,EASTERN,B,M,YES,
19-46,2018-0257,PROCEDURE,NS,D/C,NO,2018-12-12,2019-04-23,EASTERN,B,M,YES,
19-45,2018-0385,PROCEDURE,E,A/C,YES,2019-03-13,2019-04-23,SOUTHEASTERN,"H,H","M,M",NO,
19-45,2018-0385,DISCRIMINATION,U,A,YES,2019-03-13,2019-04-23,SOUTHEASTERN,"H,H","M,M",NO,
19-45,2018-0385,PROCEDURE,S,A,YES,2019-03-13,2019-04-23,SOUTHEASTERN,"H,H","M,M",NO,
19-45,2018-0385,PROCEDURE,E,A/C,YES,2019-03-13,2019-04-23,SOUTHEASTERN,"H,H","M,M",NO,
19-45,2018-0385,PROCEDURE,E,A,YES,2019-03-13,2019-04-23,SOUTHEASTERN,"H,H","M,M",NO,
19-45,2018-0385,DISCRIMINATION,U,A,YES,2019-03-13,2019-04-23,SOUTHEASTERN,"H,H","M,M",NO,
19-45,2018-0385,PROCEDURE,S,A,YES,2019-03-13,2019-04-23,SOUTHEASTERN,"H,H","M,M",NO,
19-44,2018-0344,OIS,WP,A,YES,2019-01-08,2019-04-23,CENTRAL,B,F,NO,
19-43,2017-0943,FORCE,E,A,YES,2019-01-11,2019-04-09,WESTERN,W,F,NO,
19-43,2017-0943,PROCEDURE,NS,A,YES,2019-01-11,2019-04-09,WESTERN,W,F,NO,
19-43,2017-0943,PROCEDURE,E,A,YES,2019-01-11,2019-04-09,WESTERN,W,F,NO,
19-42,2018-0697,PROCEDURE,U,A,YES,2019-03-06,2019-04-09,CENTRAL,W,M,NO,
19-42,2018-0697,ARREST,E,A,YES,2019-03-06,2019-04-09,CENTRAL,W,M,NO,
19-41,2018-0392,PROCEDURE,U,A,YES,2018-12-19,2019-03-26,SOUTHEASTERN,B,F,NO,
19-41,2018-0392,PROCEDURE,E,A,YES,2018-12-19,2019-03-26,SOUTHEASTERN,B,F,NO,
19-41,2018-0392,FORCE,E,A,YES,2018-12-19,2019-03-26,SOUTHEASTERN,B,F,NO,
19-41,2018-0392,DISCRIMINATION,U,A,YES,2018-12-19,2019-03-26,SOUTHEASTERN,B,F,NO,
19-40,2018-0348,DISCRIMINATION,U,A,YES,2019-01-10,2019-03-26,CENTRAL,H,M,NO,
19-40,2018-0348,FORCE,E,A,YES,2019-01-10,2019-03-26,CENTRAL,H,M,NO,
19-39,2018-0192,ARREST,E,A,YES,2019-01-29,2019-03-26,MID-CITY,W,M,NO,
19-39,2018-0192,PROCEDURE,S,A,YES,2019-01-29,2019-03-26,MID-CITY,W,M,NO,
19-39,2018-0192,ARREST,E,A,YES,2019-01-29,2019-03-26,MID-CITY,W,M,NO,
19-38,2018-0319,OIS,WP,A,YES,2019-01-03,2019-02-26,SOUTHERN,H,M,NO,
19-37,2018-0258,FORCE,U,A/C,YES,2018-11-29,2019-02-26,WESTERN,W,M,NO,
19-36,2018-0563,FORCE,E,A,YES,2019-01-09,2019-03-12,NORTHEASTERN,W,F,NO,
19-36,2018-0563,ARREST,E,A,YES,2019-01-09,2019-03-12,NORTHEASTERN,W,F,NO,
19-36,2018-0563,PROCEDURE,E,A,YES,2019-01-09,2019-03-12,NORTHEASTERN,W,F,NO,
19-36,2018-0563,FORCE,E,A,YES,2019-01-09,2019-03-12,NORTHEASTERN,W,F,NO,
19-36,2018-0563,ARREST,E,A,YES,2019-01-09,2019-03-12,NORTHEASTERN,W,F,NO,
19-36,2018-0563,PROCEDURE,E,A,YES,2019-01-09,2019-03-12,NORTHEASTERN,W,F,NO,
19-35,2018-0250,DISCRIMINATION,U,A/C,NO,2018-09-13,2019-02-26,MID-CITY,B,M,NO,
19-35,2018-0250,DISCRIMINATION,U,A/C,NO,2018-09-13,2019-02-26,MID-CITY,B,M,NO,
19-34,2017-0603,ARREST,E,D/C,NO,2018-10-17,2019-02-26,SOUTHEASTERN,B,M,NO,
19-34,2017-0603,DISCRIMINATION,U,A/C,NO,2018-10-17,2019-02-26,SOUTHEASTERN,B,M,NO,
19-33,2017-0777,OF2 PROCEDURE,S,A,YES,2018-05-24,2019-02-12,CENTRAL,B,M,NO,
19-33,2017-0777,FORCE,E,A,YES,2018-05-24,2019-02-12,CENTRAL,B,M,NO,
19-33,2017-0777,FORCE,E,A,YES,2018-05-24,2019-02-12,CENTRAL,B,M,NO,
19-33,2017-0777,PROCEDURE,U,A,YES,2018-05-24,2019-02-12,CENTRAL,B,M,NO,
19-33,2017-0777,OF1 PROCEDURE,S,A,YES,2018-05-24,2019-02-12,CENTRAL,B,M,NO,
19-32,2017-0928,OIS,WP,A,YES,2018-07-17,2019-02-12,WESTERN,W,M,NO,
19-31,2017-1015,OIS,WP,A,YES,2018-12-12,2019-02-12,WESTERN,HH,MM,NO,
19-30,2018-0560,CRIMINAL CONDUCT,U,A,YES,2019-01-15,2019-02-12,SOUTHEASTERN,B,F,NO,
19-30,2018-0560,PERFORMANCE OF DUTY,S,A,YES,2019-01-15,2019-02-12,SOUTHEASTERN,B,F,NO,
19-29,2018-0180,FORCE,E,A,YES,2018-11-27,2019-01-22,MID-CITY,"W,B","F,M",NO,
19-29,2018-0180,COURTESY,U,A,YES,2018-11-27,2019-01-22,MID-CITY,"W,B","F,M",NO,
19-29,2018-0180,FORCE,E,A,YES,2018-11-27,2019-01-22,MID-CITY,"W,B","F,M",NO,
19-29,2018-0180,OF1 PROCEDURE,S,A,YES,2018-11-27,2019-01-22,MID-CITY,"W,B","F,M",NO,
19-29,2018-0180,FORCE,E,A,YES,2018-11-27,2019-01-22,MID-CITY,"W,B","F,M",NO,
19-29,2018-0180,FORCE,E,A,YES,2018-11-27,2019-01-22,MID-CITY,"W,B","F,M",NO,
19-29,2018-0180,FORCE,E,A,YES,2018-11-27,2019-01-22,MID-CITY,"W,B","F,M",NO,
19-28,2018-0358,PROCEDURE,E,A,YES,2018-12-11,2019-01-22,SOUTHEASTERN,B,M,NO,
19-28,2018-0358,PROCEDURE,E,A,YES,2018-12-11,2019-01-22,SOUTHEASTERN,B,M,NO,
19-28,2018-0358,PROCEDURE,U,A,YES,2018-12-11,2019-01-22,SOUTHEASTERN,B,M,NO,
19-28,2018-0358,PROCEDURE,S,A,YES,2018-12-11,2019-01-22,SOUTHEASTERN,B,M,NO,
19-28,2018-0358,DISCRIMINATION,U,A,YES,2018-12-11,2019-01-22,SOUTHEASTERN,B,M,NO,
19-27,2018-0050,COURTESY,U,A,YES,2018-07-24,2019-01-07,MID-CITY,"B,B","F,M",YES,
19-27,2018-0050,FORCE,E,A/C,YES,2018-07-24,2019-01-07,MID-CITY,"B,B","F,M",YES,
19-27,2018-0050,FORCE,E,A/C,YES,2018-07-24,2019-01-07,MID-CITY,"B,B","F,M",YES,
19-27,2018-0050,COURTESY,U,A,YES,2018-07-24,2019-01-07,MID-CITY,"B,B","F,M",YES,
19-27,2018-0050,COURTESY,NS,A,YES,2018-07-24,2019-01-07,MID-CITY,"B,B","F,M",YES,
19-27,2018-0050,COURTESY,U,A,YES,2018-07-24,2019-01-07,MID-CITY,"B,B","F,M",YES,
19-26,2018-0110,OIS,WP,A/C,YES,2018-08-29,2018-11-27,CENTRAL,W,F,NO,
19-26,2018-0110,OF1 PROCEDURE,S,A,YES,2018-08-29,2018-11-27,CENTRAL,W,F,NO,
19-26,2018-0110,OF2 FORCE,E,A,YES,2018-08-29,2018-11-27,CENTRAL,W,F,NO,
19-26,2018-0110,OIS,WP,A/C,YES,2018-08-29,2018-11-27,CENTRAL,W,F,NO,
19-25,2017-0877,OIS,WP,A,YES,2018-08-29,2018-11-27,NORTHERN,A,M,NO,
19-24,2017-0660,OIS,WP,A,YES,2018-10-25,2019-01-08,OUT OF JURISDICTION,H,M,NO,
19-23,2017-0018,FORCE,E,A,YES,2017-11-30,2019-01-08,CENTRAL,B,M,YES,
19-23,2017-0018,DISCRIMINATION,U,A,YES,2017-11-30,2019-01-08,CENTRAL,B,M,YES,
19-23,2017-0018,FORCE,E,A,YES,2017-11-30,2019-01-08,CENTRAL,B,M,YES,
19-23,2017-0018,DISCRIMINATION,U,A,YES,2017-11-30,2019-01-08,CENTRAL,B,M,YES,
19-23,2017-0018,PROCEDURE,U,A,YES,2017-11-30,2019-01-08,CENTRAL,B,M,YES,
19-23,2017-0018,OF1 PROCEDURE,S,A,YES,2017-11-30,2019-01-08,CENTRAL,B,M,YES,
19-23,2017-0018,PROCEDURE,U,A,YES,2017-11-30,2019-01-08,CENTRAL,B,M,YES,
19-22,2018-0412,PROCEDURE,E,A,NO,2018-11-28,2019-01-08,CENTRAL,B,M,NO,
19-22,2018-0412,ARREST,E,A,NO,2018-11-28,2019-01-08,CENTRAL,B,M,NO,
19-22,2018-0412,ARREST,E,A,NO,2018-11-28,2019-01-08,CENTRAL,B,M,NO,
19-22,2018-0412,DETENTION,E,A,NO,2018-11-28,2019-01-08,CENTRAL,B,M,NO,
19-21,2017-0967,PROCEDURE,U,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,FORCE,E,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,OF2 PROCEDURE,S,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,OF3 COURTESY,S,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,FORCE,E,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,OF1 PROCEDURE,S,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,FORCE,E,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,COURTESY,S,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,FORCE,E,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,PROCEDURE,U,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,FORCE,E,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,FORCE,E,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-21,2017-0967,OF4 PROCEDURE,S,A,YES,2018-10-01,2018-11-13,SOUTHEASTERN,B,M,NO,
19-20,2017-0955,PROCEDURE,NS,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,PROCEDURE,NS,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,FORCE,E,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,FORCE,U,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,PROCEDURE,U,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,OF1 PROCEDURE,S,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,OF2 PROCEDURE,S,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,FORCE,U,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,PROCEDURE,U,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,OF3 PROCEDURE,S,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,FORCE,E,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-20,2017-0955,FORCE,E,A,YES,2018-11-08,2018-11-27,MID-CITY,B,M,NO,
19-19,2017-0711,OIS,WP,A,YES,2018-07-18,2018-11-27,CENTRAL,NOT STATED IN THE REPORT,M,NO,
19-19,2017-0711,OF1 PROCEDURE,S,A,YES,2018-07-18,2018-11-27,CENTRAL,NOT STATED IN THE REPORT,M,NO,
19-19,2017-0711,OF2 PROCEDURE,E,A,YES,2018-07-18,2018-11-27,CENTRAL,NOT STATED IN THE REPORT,M,NO,
19-18,2018-0111,FORCE,U,A,YES,2018-08-20,2018-11-27,CENTRAL,B,F,NO,
19-18,2018-0111,FORCE,E,A/C,YES,2018-08-20,2018-11-27,CENTRAL,B,F,NO,
19-17,2017-0905,FORCE,E,A,NO,2018-08-16,2018-10-09,CENTRAL,H,F,YES,
