"id","pid","case_number","allegation","ia_finding","crb_decision","vote","unanimous_vote"
"22-01","1.0","2019-0241","PROCEDURE","NS","A","14 0 1","YES"
"22-01","2.0","2019-0241","PROCEDURE","U","A","14 0 1","YES"
"22-01","2.0","2019-0241","FORCE","E","A/C","14 0 1","YES"
"22-01","2.0","2019-0241","ARREST","E","A","14 0 1","YES"
"22-02","1.0","2020-0576","DETENTION","E","A/C","14 0 1","YES"
"22-02","1.0","2020-0576","SERVICE","E","A","14 0 1","YES"
"22-02","1.0","2020-0576","COURTESY","U","A","14 0 1","YES"
"22-02","1.0","2020-0576","DETENTION","E","A/C","14 0 1","YES"
"22-02","1.0","2020-0576","SERVICE","E","A","14 0 1","YES"
"22-02","1.0","2020-0576","COURTESY","U","A","14 0 1","YES"
"22-02","2.0","2020-0576","COURTESY","U","A","14 0 1","YES"
"22-02","2.0","2020-0576","COURTESY","U","A","14 0 1","YES"
"22-02","3.0","2020-0576","DETENTION","E","A/C","14 0 1","YES"
"22-02","3.0","2020-0576","SERVICE","E","A","14 0 1","YES"
"22-02","3.0","2020-0576","COURTESY","U","A","14 0 1","YES"
"22-02","3.0","2020-0576","DETENTION","E","A/C","14 0 1","YES"
"22-02","3.0","2020-0576","SERVICE","E","A","14 0 1","YES"
"22-02","3.0","2020-0576","COURTESY","U","A","14 0 1","YES"
"22-03","1.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","1.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","1.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","1.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","2.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","2.0","2020-0450","SEARCH","S","A","13 0 1","YES"
"22-03","2.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","2.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","2.0","2020-0450","SEARCH","S","A","13 0 1","YES"
"22-03","2.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","3.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","3.0","2020-0450","COURTESY","U","A","13 0 1","YES"
"22-03","3.0","2020-0450","SEARCH","S","A","13 0 1","YES"
"22-03","3.0","2020-0450","PROCEDURE","E","A","13 0 1","YES"
"22-03","3.0","2020-0450","DISCRIMINATION","U","A","13 0 1","YES"
"22-03","3.0","2020-0450","SEARCH","E","A","13 0 1","YES"
"22-03","3.0","2020-0450","COURTESY","U","A","13 0 1","YES"
"22-03","3.0","2020-0450","SEARCH","S","A","13 0 1","YES"
"22-03","3.0","2020-0450","PROCEDURE","E","A","13 0 1","YES"
