"id","case_number","team","date_assigned","date_completed","date_presented","days_number","days_30_or_less","days_60_or_less","90_days_or_less","120_days_or_less","changes","pd_division","complainant_race","complainant_gender","crb_viewed_bwc"
"22-01","2019-0241","7.0","2019-09-05","2021-03-02","2021-07-13","544.0","NO","NO","NO","NO","YES","SOUTHEASTERN","B","M","YES"
"22-02","2020-0576","2.0","2021-05-14","2021-06-30","2021-07-13","47.0","NO","YES","YES","YES","NO","SOUTHEASTERN","B","M","YES"
"22-03","2020-0450","1.0","2021-05-04","2021-07-02","2021-07-13","59.0","NO","YES","YES","YES","YES","WESTERN","H","M","YES"
"22-04","2021-0015","2.0","2021-05-06","2021-07-06","2021-07-13","61.0","NO","NO","YES","YES","NO","NORTHERN","W","M","YES"
"22-05","2020-0356","3.0","2021-04-14","2021-07-08","2021-07-20","85.0","NO","NO","YES","YES","NO","CENTRAL","H","F","YES"
"22-06","2020-0477","3.0","2021-06-01","2021-07-08","2021-07-20","37.0","NO","YES","YES","YES","NO","SOUTHEASTERN","B","F","YES"
"22-07","2020-0634","3.0","2021-05-13","2021-06-08","2021-07-20","26.0","YES","YES","YES","YES","NO","MID-CITY","A","M","YES"
"22-08","2020-0622","3.0","2021-03-02","2021-07-13","2021-07-20","133.0","NO","NO","NO","NO","NO","NORTHERN","W","M","YES"
"22-09","2021-0058","2.0","2021-05-19","2021-07-07","2021-07-27","49.0","NO","YES","YES","YES","NO","MID-CITY","B","M","YES"
"22-10","2020-0384","1.0","2020-12-16","2021-07-20","2021-07-27","216.0","NO","NO","NO","NO","NO","CENTRAL","H","F","YES"
"22-100","2020-0659","5.0","2021-06-17","2022-04-07","2022-04-26","294.0","NO","NO","NO","NO","NO","CHULA VISTA -SDPD OPER SUPP K9","O","M","YES"
"22-101","2021-0314","6.0","2021-08-11","2022-04-28","2022-05-03","260.0","NO","NO","NO","NO","NO","CENTRAL","W","M","YES"
"22-102","2021-0574","4.0","2022-02-26","2022-04-29","2022-05-03","62.0","NO","NO","YES","YES","NO","NORTHERN","UNK","UNK","YES"
"22-103","2020-0478","5.0","2021-06-09","2022-04-22","2022-05-24","317.0","NO","NO","NO","NO","NO","MID-CITY","B","M","YES"
"22-11","2021-0110","3.0","2021-06-14","2021-07-08","2021-07-27","24.0","YES","YES","YES","YES","NO","SOUTHEASTERN","B","F","YES"
"22-12","2021-0118","3.0","2021-06-09","2021-07-09","2021-07-27","30.0","YES","YES","YES","YES","NO","CENTRAL","H","M","YES"
"22-13","2021-0132","2.0","2021-06-21","2021-07-16","2021-07-27","25.0","YES","YES","YES","YES","NO","SOUTHEASTERN","W","F","YES"
"22-14","2020-0438","1.0","2021-05-13","2021-07-29","2021-08-10","77.0","NO","NO","YES","YES","NO","CENTRAL","H","M","YES"
"22-15","2020-0326","3.0","2021-06-21","2021-07-29","2021-08-10","38.0","NO","YES","YES","YES","NO","CENTRAL","W","M","YES"
"22-16","2021-0170","1.0","2021-07-08","2021-07-29","2021-08-10","21.0","YES","YES","YES","YES","NO","WESTERN","H","M","YES"
"22-17","2021-0034","2.0","2021-07-08","2021-07-21","2021-08-10","13.0","YES","YES","YES","YES","NO","WESTERN","H","M","YES"
"22-18","2020-0702","7.0","2021-01-26","2021-07-29","2021-08-10","184.0","NO","NO","NO","NO","YES","SANTEE","B","F","YES"
"22-19","2020-0488","6.0","2020-12-09","2021-07-06","2021-08-10","209.0","NO","NO","NO","NO","YES","NORTHERN","W","M","YES"
"22-20","2020-0724","3.0","2021-05-19","2021-08-05","2021-08-17","78.0","NO","NO","YES","YES","YES","MID-CITY","B","F","YES"
"22-21","2019-0873","4.0","2020-10-27","2021-08-11","2021-08-17","288.0","NO","NO","NO","NO","NO","WESTERN","H","F","YES"
"22-22","2020-0792","4.0","2021-04-21","2021-08-11","2021-08-17","112.0","NO","NO","NO","YES","NO","EASTERN","H","F","YES"
"22-23","2020-0833","3.0","2021-07-08","2021-08-06","2021-08-17","29.0","YES","YES","YES","YES","NO","EASTERN","B","M","YES"
"22-24","2021-0074","2.0","2021-08-11","2021-08-16","2021-08-24","5.0","YES","YES","YES","YES","NO","NORTHERN","W","M","YES"
"22-25","2020-0725","2.0","2021-06-01","2021-07-29","2021-08-24","58.0","NO","YES","YES","YES","NO","MID-CITY","B","F","YES"
"22-26","2020-0692","6.0","2021-05-12","2021-08-09","2021-08-24","89.0","NO","NO","YES","YES","NO","SOUTHERN","H","M","YES"
"22-27","2020-0600","1.0","2021-05-26","2021-08-18","2021-08-24","84.0","NO","NO","YES","YES","NO","CENTRAL","UNK","M","YES"
"22-28","2020-0761","2.0","2021-06-14","2021-07-23","2021-08-24","39.0","NO","YES","YES","YES","NO","CENTRAL","H","F","YES"
"22-29","2020-0196","3.0","2021-07-13","2021-08-28","2021-09-07","46.0","NO","YES","YES","YES","YES","SOUTHEASTERN","H","F","YES"
"22-30","2020-0755","4.0","2021-03-24","2021-09-02","2021-09-07","162.0","NO","NO","NO","NO","NO","NORTHEASTERN","B","F","YES"
"22-31","2020-0752","2.0","2021-07-21","2021-08-02","2021-09-07","12.0","YES","YES","YES","YES","NO","SOUTHEASTERN","H","M","YES"
"22-32","2020-0707","1.0","2021-03-26","2021-09-16","2021-09-21","174.0","NO","NO","NO","NO","YES","EASTERN","H","F","YES"
"22-33","2020-0698","2.0","2021-08-27","2021-09-13","2021-09-21","17.0","YES","YES","YES","YES","NO","NORTHERN","H","M","YES"
"22-34","2021-0047","2.0","2021-06-07","2021-08-06","2021-09-21","60.0","NO","YES","YES","YES","YES","CENTRAL","B","F","YES"
"22-35","2021-0277","3.0","2021-07-28","2021-09-29","2021-10-05","63.0","NO","NO","YES","YES","NO","WESTERN","W","F","YES"
"22-36","2020-0633","5.0","2021-03-15","2021-09-27","2021-10-05","196.0","NO","NO","NO","NO","NO","CENTRAL","H","M","YES"
"22-37","2020-0567","1.0","2021-06-17","2021-09-30","2021-10-05","105.0","NO","NO","NO","YES","NO","MID-CITY","B","M","YES"
"22-38","2021-0105","1.0","2021-05-19","2021-09-30","2021-10-05","134.0","NO","NO","NO","NO","NO","CENTRAL","W","F","YES"
"22-39","2021-0062","3.0","2021-07-22","2021-10-02","2021-10-12","72.0","NO","NO","YES","YES","NO","EASTERN","B","F","YES"
"22-40","2020-0754","4.0","2021-04-08","2021-10-04","2021-10-12","179.0","NO","NO","NO","NO","NO","EASTERN","S","F","YES"
"22-41","2020-0655","5.0","2021-04-08","2021-09-30","2021-10-12","175.0","NO","NO","NO","NO","NO","EASTERN","H","M","YES"
"22-42","2020-0143","7.0","2020-12-01","2021-10-07","2021-10-12","310.0","NO","NO","NO","NO","NO","WESTERN","H","F","YES"
"22-43","2020-0328","6.0","2021-01-15","2021-10-03","2021-11-09","261.0","NO","NO","NO","NO","NO","CENTRAL","UNK","M","YES"
"22-44","2020-0704","6.0","2021-03-24","2021-11-01","2021-11-09","222.0","NO","NO","NO","NO","NO","SOUTHEASTERN","B","F","YES"
"22-45","2021-0228","1.0","2021-07-20","2021-11-04","2021-11-09","107.0","NO","NO","NO","YES","YES","CENTRAL","H","M","YES"
"22-46","2020-0760","4.0","2021-07-31","2021-11-07","2021-11-16","99.0","NO","NO","NO","YES","NO","MID-CITY","B","M","YES"
"22-47","2021-0135","3.0","2021-08-27","2021-11-09","2021-11-16","74.0","NO","NO","YES","YES","NO","WESTERN","W","M","YES"
"22-48","2020-0691","3.0","2021-09-23","2021-11-09","2021-11-16","47.0","NO","YES","YES","YES","NO","NORTHEASTERN","W","M","YES"
"22-49","2021-0039","1.0","2021-03-17","2021-11-10","2021-11-16","238.0","NO","NO","NO","NO","NO","CENTRAL","B","M","N/A"
"22-50","2020-0317","2.0","2021-10-19","2021-11-23","2021-12-07","35.0","NO","YES","YES","YES","NO","CENTRAL","W","M","YES"
"22-51","2020-0798","2.0","2021-09-01","2021-11-27","2021-12-07","87.0","NO","NO","YES","YES","NO","EASTERN","B","F","YES"
"22-52","2020-0102","1.0","2021-05-06","2021-11-30","2021-12-07","208.0","NO","NO","NO","NO","NO","MID-CITY","W","M","YES"
"22-53","2020-0780","3.0","2021-09-29","2021-11-30","2021-12-07","62.0","NO","NO","YES","YES","NO","CENTRAL","H","M","YES"
"22-54","2021-0242","1.0","2021-08-25","2021-11-30","2021-12-07","97.0","NO","NO","NO","YES","NO","EASTERN","UNK","UNK","YES"
