"id","pid","case_number","bwc_on"
"22-01","1","2019-0241","ON"
"22-01","2","2019-0241","ON"
"22-02","1","2020-0576","ON"
"22-02","2","2020-0576","ON"
"22-02","3","2020-0576","ON"
"22-03","1","2020-0450","ON"
"22-03","2","2020-0450","ON"
"22-03","3","2020-0450","ON"
"22-03","4","2020-0450","ON"
"22-03","5","2020-0450","ON"
"22-03","6","2020-0450","ON"
"22-04","1","2021-0015","ON"
"22-05","1","2020-0356","ON"
"22-06","1","2020-0477","ON"
"22-06","2","2020-0477","FAILURE TO KEEP BWC ON"
"22-06","3","2020-0477","FAILURE TO PUT BWC IN EVENT MODE & TURNED OFF PRIOR TO END OF DETENTION"
"22-06","4","2020-0477","FAILURE TO KEEP BWC ON"
"22-06","5","2020-0477","ON"
"22-07","1","2020-0634","ON"
"22-07","2","2020-0634","ON"
"22-07","3","2020-0634","ON"
"22-08","1","2020-0622","ON"
"22-08","2","2020-0622","FAILURE TO ACTIVATE IN EVENT MODE"
"22-09","1","2021-0058","ON"
"22-10","1","2020-0384","ON"
"22-10","2","2020-0384","ON"
"22-100","1","2020-0659","ON"
"22-100","2","2020-0659","ON"
"22-101","1","2021-0314","ON"
"22-102","1","2021-0574","ON"
"22-103","1","2020-0478","ON"
"22-103","2","2020-0478","ON"
"22-103","3","2020-0478","ON"
"22-103","4","2020-0478","ON"
"22-103","5","2020-0478","ON"
"22-103","6","2020-0478","ON"
"22-103","7","2020-0478","ON"
"22-11","1","2021-0110","ON"
"22-12","1","2021-0118","ON"
"22-12","2","2021-0118","ON"
"22-13","1","2021-0132","ON"
"22-14","1","2020-0438","ON"
"22-14","2","2020-0438","ON"
"22-15","1","2020-0326","ON"
"22-15","2","2020-0326","ON"
"22-16","1","2021-0170","ON"
"22-16","2","2021-0170","ON"
"22-17","1","2021-0034","ON"
"22-17","2","2021-0034","ON"
"22-18","1","2020-0702","ON"
"22-19","1","2020-0488","ON"
"22-19","2","2020-0488","ON"
"22-20","1","2020-0724","Failure to Activate BWC"
"22-20","2","2020-0724","ON"
"22-20","3","2020-0724","ON"
"22-21","1","2019-0873","ON"
