"id","case_number","team","date_assigned","date_completed","date_presented","days_number","days_30_or_less","days_60_or_less","90_days_or_less","120_days_or_less","changes","pd_division","complainant_race","complainant_gender","crb_viewed_bwc"
"21-01","2019-0671","6.0","2020-05-06","2020-07-11","2020-07-28","66.0","NO","NO","YES","NO","NO","MID-CITY","B","M","YES"
"21-02","2019-0617","6.0","2020-04-23","2020-07-11","2020-07-28","79.0","NO","NO","YES","NO","NO","NATIONAL CITY Special ops","","F","YES"
"21-03","2019-0547","7.0","2020-01-22","2020-02-26","2020-08-04","35.0","NO","YES","YES","YES","NO","NORTHEASTERN","H","F","YES"
"21-04","2019-0707","7.0","2020-02-12","2020-03-16","2020-08-04","33.0","NO","YES","YES","YES","NO","500 PARK AVENUE","B","M","YES"
"21-05","2019-0049","7.0","2019-12-09","2020-05-31","2020-08-04","174.0","NO","NO","NO","NO","YES","MID-CITY","W","M","YES"
"21-06","2019-0574","6.0","2020-01-22","2020-05-16","2020-08-11","115.0","NO","NO","NO","YES","YES","NORTHERN","B","M","YES"
"21-07","2019-0019","4.0","2020-01-22","2020-06-30","2020-08-11","160.0","NO","NO","NO","NO","YES","WESTERN","W","M","YES"
"21-08","2020-0082","1.0","2020-06-05","2020-07-16","2020-08-11","41.0","NO","YES","YES","YES","NO","NORTHERN","W","F","YES"
"21-09","2019-0456","1.0","2020-04-14","2020-07-06","2020-08-11","83.0","NO","NO","YES","YES","YES","CENTRAL","W","F","YES"
"21-10","2019-0820","4.0","2020-04-08","2020-08-02","2020-08-11","116.0","NO","NO","YES","YES","NO","WESTERN","W","F","YES"
"21-100","2020-0338","6.0","2020-08-24","2021-04-08","2021-04-13","227.0","NO","NO","NO","NO","NO","NORTHERN","B","F","NO (DELETED RETENTION)"
"21-101","2020-0415","2.0","2020-12-16","2021-03-16","2021-04-13","90.0","NO","NO","YES","YES","NO","WESTERN","W","M","YES"
"21-102","2020-0614","3.0","2021-03-10","2021-04-12","2021-04-27","33.0","NO","YES","YES","YES","NO","EASTERN","W","M","YES"
"21-103","2020-0389","1.0","2021-01-11","2021-04-16","2021-04-27","95.0","NO","NO","NO","YES","YES","CENTRAL","O","F","YES"
"21-104","2020-0187","6.0","2020-12-22","2021-04-17","2021-04-27","116.0","NO","NO","NO","YES","NO","WESTERN","H","M","YES"
"21-105","2020-0598","3.0","2021-02-17","2021-04-27","2021-05-04","69.0","NO","NO","YES","YES","NO","MID-CITY","unkn","M","YES"
"21-106","2020-0589","2.0","2021-03-04","2021-03-10","2021-05-04","6.0","YES","YES","YES","YES","NO","NORTHERN","W","M","NO "
"21-107","2020-0487","2.0","2021-03-18","2021-04-23","2021-05-04","36.0","NO","YES","YES","YES","NO","CENTRAL","W","M","YES"
"21-108","2020-0451","2.0","2021-02-18","2021-03-19","2021-05-04","29.0","YES","YES","YES","YES","NO","SOUTHERN","H","M","YES"
"21-109","2020-0416","7.0","2021-02-01","2021-05-07","2021-05-11","95.0","NO","NO","NO","YES","NO","WESTERN","B","F","YES"
"21-11","2019-0529","2.0","2019-07-26","2020-03-05","2020-08-25","223.0","NO","NO","NO","NO","NO","CENTRAL","B","M","YES"
"21-110","2020-0505","3.0","2021-04-07","2021-04-20","2021-05-11","13.0","YES","YES","YES","YES","NO","NORTHERN","W","F","YES"
"21-111","2020-0466","4.0","2021-03-10","2021-05-05","2021-05-11","56.0","NO","YES","YES","YES","NO","WESTERN","ME","M","YES"
"21-112","2020-0797","3.0","2021-03-18","2021-04-20","2021-05-11","33.0","NO","YES","YES","YES","NO","SOUTHERN","W","F","YES"
"21-113","2019-0594","1.0","2019-12-19","2021-05-12","2021-05-25","510.0","NO","NO","NO","NO","YES","EASTERN","B","M","YES"
"21-114","2020-0511","1.0","2021-02-08","2021-05-14","2021-05-25","95.0","NO","NO","NO","YES","NO","WESTERN","W","F","YES"
"21-115","2020-0443","1.0","2021-02-17","2021-04-14","2021-05-25","56.0","NO","YES","YES","YES","YES","NORTHERN","unkn","M","YES"
"21-116","2020-0550","5.0","2021-03-24","2021-06-03","2021-06-08","71.0","NO","NO","YES","YES","NO","NORTHERN","B","M","YES"
"21-117","2020-0401","6.0","2021-01-20","2021-06-02","2021-06-08","133.0","NO","NO","NO","NO","NO","CENTRAL","B","F","YES"
"21-118","2020-0807","2.0","2021-04-14","2021-05-19","2021-06-22","35.0","NO","YES","YES","YES","NO","NORTHERN","W","M","YES"
"21-119","2020-0678","3.0","2021-05-12","2021-06-01","2021-06-22","20.0","YES","YES","YES","YES","","SOUTHERN","unkn","M","YES"
"21-12","2019-0422","3.0","2019-05-26","2020-05-23","2020-08-25","363.0","NO","NO","NO","NO","NO","NORTHERN","W","F","YES"
"21-120","2020-0577","4.0","2021-02-11","2021-06-17","2021-06-22","126.0","NO","NO","NO","NO","NO","SOUTHEASTERN","H","M","YES"
"21-121","2020-0051","7.0","2021-01-14","2021-05-20","2021-06-29","126.0","NO","NO","NO","NO","YES","MID-CITY","B","F","YES"
"21-122","2020-0612","5.0","2021-03-08","2021-06-23","2021-06-29","107.0","NO","NO","NO","YES","NO","NORTHWESTERN","W","M","YES"
